NHLid,Last Name,First Name,Position,Team
8477452,McCoshen,Ian,D,FLA
8478402,McDavid,Connor,C,EDM
8474151,McDonagh,Ryan,D,NYR
8470644,McDonald,Colin,RW/C,PHI
8477091,McEneny,Evan,D,VAN
8476934,McGinn,Brock,LW,CAR
8473465,McGinn,Jamie,LW/RW,ARI
8475795,McIlrath,Dylan,D,FLA/NYR
8475735,McKegg,Greg,C,FLA/T.B
8475310,McKenzie,Curtis,LW,DAL
8471657,McLeod,Cody,LW/RW,COL/NSH
8475188,McNabb,Brayden,D,L.A
8476471,McNeill,Mark,C/RW,DAL
8471717,Mcquaid,Adam,D,BOS
8475263,Megan,Wade,C,STL
8477034,Megna,Jaycob,D,ANA
8477126,Megna,Jayson,C,VAN
8478414,Meier,Timo,RW,S.J
8475815,Melchiori,Julian,D,WPG
8475750,Merrill,Jon,D,N.J
8470760,Methot,Marc,D,OTT
8470599,Michalek,Milan,LW/RW,TOR
8469760,Michalek,Zbynek,D,ARI
8477947,Milano,Sonny,LW,CBJ
8476525,Miller,Colin,D,BOS
8470778,Miller,Drew,LW/RW,DET
8476468,Miller,J.T.,LW/RW/C,NYR
8476191,Miller,Kevan,D,BOS
8475291,Mitchell,Garrett,RW,WSH
8470750,Mitchell,John,C,COL
8471338,Mitchell,Torrey,C/RW,MTL
8476619,Mitchell,Zack,RW,MIN
8479969,Molino,Griffen,C,VAN
8477497,Monahan,Sean,C,CGY
8477986,Montour,Brandon,D,ANA
8468575,Moore,Dominic,C/LW,BOS
8475186,Moore,John,D,N.J
8477502,Morin,Samuel,D,PHI
8477504,Morrissey,Josh,D,WPG
8476476,Morrow,Joe,D,BOS
8477353,Motte,Tyler,LW/C,CHI
8470852,Moulson,Matt,LW,BUF
8477509,Mueller,Mirco,D,S.J
8476473,Murphy,Connor,D,ARI
8476465,Murphy,Ryan,D,CAR
8476850,Murray,Ryan,D,CBJ
8474162,Muzzin,Jake,D,L.A
8474574,Myers,Tyler,D,WPG
8478562,Nakladal,Jakub,D,CAR
8476480,Namestnikov,Vladislav,C/LW,T.B
8470041,Nash,Rick,RW/LW,NYR
8474062,Nash,Riley,C/RW,BOS
8471707,Neal,James,RW/LW,NSH
8467493,Neil,Chris,RW,OTT
8475754,Nelson,Brock,C/LW,NYI
8479268,Nelson,Casey,D,BUF
8475747,Nemeth,Patrik,D,DAL
8474604,Ness,Aaron,D,WSH
8476300,Nesterov,Nikita,D,MTL/T.B
8475250,Nestrasil,Andrej,C/RW/LW,CAR
8475799,Niederreiter,Nino,RW,MIN
8470144,Nielsen,Frans,C,DET
8476442,Nieto,Matt,LW/RW,COL/S.J
8476922,Nieves,Cristoval,C/LW,NYR
8471702,Niskanen,Matt,D,WSH
8476474,Noesen,Stefan,RW,ANA/N.J
8478031,Nogier,Nelson,D,WPG
8475325,Nolan,Jordan,C/LW/RW,L.A
8475807,Nordstrom,Joakim,LW/C,CAR
8477931,Nosek,Tomas,LW/C,DET
8476454,Nugent-Hopkins,Ryan,C,EDM
8477498,Nurse,Darnell,D,EDM
8478906,Nutivaara,Markus,D,CBJ
8479423,Nylander,Alex,RW/LW,BUF
8477939,Nylander,William,C/RW,TOR
8474679,Nyquist,Gustav,RW/C/LW,DET
8477070,O'Brien,Liam,C/LW,WSH
8476303,O'Gara,Rob,D,BOS
8476982,O'Regan,Daniel,C/LW,S.J
8471811,O'Reilly,Cal,C,BUF
8475158,O'Reilly,Ryan,C/LW/RW,BUF
8469665,Oduya,Johnny,D,CHI/DAL
8477851,Oesterle,Jordan,D,EDM
8473449,Okposo,Kyle,RW,BUF
8476467,Oleksiak,Jamie,D,DAL
8476162,Oleksy,Steve,D,PIT
8477467,Olofsson,Gustav,D,MIN
8475200,Orlov,Dmitry,D,WSH
8468498,Orpik,Brooks,D,WSH
8471698,Oshie,T.J.,RW/C,WSH
8468505,Ott,Steve,C/LW,DET/MTL
8476443,Ouellet,Xavier,D,DET
8471214,Ovechkin,Alex,LW/RW,WSH
8475175,Paajarvi,Magnus,LW,STL
8474157,Pacioretty,Max,LW,MTL
8476419,Pageau,Jean-Gabriel,C,OTT
8476336,Pakarinen,Iiro,RW,EDM
8476292,Palat,Ondrej,LW,T.B
8475151,Palmieri,Kyle,RW/C/LW,N.J
8478550,Panarin,Artemi,LW/C,CHI
8475209,Panik,Richard,RW/LW,CHI
8476975,Paquette,Cedric,C/LW,T.B
8476892,Parayko,Colton,D,STL
8471385,Pardy,Adam,D,NSH
8469707,Parenteau,PA,RW,N.J/NSH
8470610,Parise,Zach,LW,MIN
8477956,Pastrnak,David,RW/LW,BOS
8474688,Pateryn,Greg,D,DAL/MTL
8477426,Paul,Nick,LW/C,OTT
8470794,Pavelski,Joe,C/RW,S.J
8476871,Pearson,Tanner,LW,L.A
8476285,Peca,Matthew,C,T.B
8476917,Pelech,Adam,D,NYI
8477943,Perlini,Brendan,LW,ARI
8473618,Perreault,Mathieu,C/LW,WPG
8474102,Perron,David,LW/RW,STL
8470621,Perry,Corey,RW,ANA
8477488,Pesce,Brett,D,CAR
8477464,Petan,Nic,LW/C,WPG
8475755,Petrovic,Alex,D,FLA
8473507,Petry,Jeff,D,MTL
8470602,Phaneuf,Dion,D,OTT
8476370,Pietila,Blake,LW/C,N.J
8474565,Pietrangelo,Alex,D,STL
8475204,Pirri,Brandon,RW/LW/C,NYR
8475752,Pitlick,Tyler,RW/C,EDM
8469521,Plekanec,Tomas,C,MTL
8478010,Point,Brayden,C,T.B
8471392,Polak,Roman,D,TOR
8469506,Pominville,Jason,RW,MIN
8471331,Porter,Kevin,C,PIT
8474074,Postma,Paul,D,WPG
8479249,Poturalski,Andrew,C,CAR
8471678,Pouliot,Benoit,LW,EDM
8476884,Pouliot,Derrick,D,PIT
8476386,Prince,Shane,LW/C,NYI
8475613,Prosser,Nate,D,MIN
8474774,Prout,Dalton,D,CBJ/N.J
8478500,Provorov,Ivan,D,PHI
8476477,Puempel,Matt,LW,NYR/OTT
8479344,Puljujarvi,Jesse,RW,EDM
